        1    0.020    0.020    0.025    0.025 patches.py:3(<module>)
      592    0.012    0.000    0.025    0.000 sre_compile.py:207(_optimize_charset)
       60    0.001    0.000    0.025    0.000 citiBikeExampleConstrained2.py:131(simulatorW)
        1    0.004    0.004    0.024    0.024 message.py:5(<module>)
     3172    0.024    0.000    0.024    0.000 {numpy.core.multiarray.arange}
        5    0.000    0.000    0.024    0.005 webbrowser.py:121(_iscommand)
        1    0.014    0.014    0.023    0.023 urllib.py:23(<module>)
        1    0.019    0.019    0.023    0.023 _minimize.py:8(<module>)
       11    0.000    0.000    0.023    0.002 artist.py:1322(kwdoc)
      240    0.023    0.000    0.023    0.000 {method 'poisson' of 'mtrand.RandomState' objects}
      313    0.000    0.000    0.023    0.000 webbrowser.py:114(_isexecutable)
      315    0.001    0.000    0.023    0.000 genericpath.py:26(isfile)
        1    0.021    0.021    0.022    0.022 ltisys.py:4(<module>)
        1    0.022    0.022    0.022    0.022 tsa_model.py:1(<module>)
      457    0.012    0.000    0.022    0.000 linalg.py:526(cholesky)
        6    0.000    0.000    0.022    0.004 __init__.py:1055(rc_params_from_file)
        1    0.019    0.019    0.021    0.021 iterative.py:1(<module>)
     3850    0.003    0.000    0.021    0.000 {method 'any' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.020    0.020 __init__.py:618(__init__)
        1    0.000    0.000    0.020    0.020 __init__.py:631(_build_master)
        1    0.000    0.000    0.020    0.020 __init__.py:953(subscribe)
        1    0.016    0.016    0.020    0.020 cm.py:6(<module>)
       37    0.000    0.000    0.020    0.001 __init__.py:2609(activate)
       37    0.000    0.000    0.020    0.001 __init__.py:3099(<lambda>)
        1    0.002    0.002    0.019    0.019 charset.py:6(<module>)
        1    0.006    0.006    0.019    0.019 csr.py:1(<module>)
        1    0.006    0.006    0.019    0.019 ignfrance.py:3(<module>)
        1    0.011    0.011    0.019    0.019 Image.py:27(<module>)
        1    0.018    0.018    0.019    0.019 numerictypes.py:82(<module>)
    11610    0.005    0.000    0.019    0.000 sre_parse.py:201(get)
        6    0.001    0.000    0.019    0.003 __init__.py:988(_rc_params_in_file)
        1    0.000    0.000    0.018    0.018 lilliefors.py:18(<module>)
        1    0.000    0.000    0.018    0.018 numdiff.py:5(<module>)
        1    0.001    0.001    0.018    0.018 specifiers.py:14(<module>)
        1    0.003    0.003    0.018    0.018 font_manager.py:21(<module>)
        1    0.015    0.015    0.018    0.018 filters.py:31(<module>)
        1    0.017    0.017    0.018    0.018 linalg.py:7(<module>)
        1    0.018    0.018    0.018    0.018 lilliefors.py:96(get_lilliefors_table)
        1    0.018    0.018    0.018    0.018 suite.py:9(<module>)
        1    0.017    0.017    0.017    0.017 l1_slsqp.py:4(<module>)
       11    0.001    0.000    0.017    0.002 artist.py:1036(pprint_setters)
    11396    0.017    0.000    0.017    0.000 {zip}
    14/10    0.000    0.000    0.017    0.002 __init__.py:324(wrapper)
     1990    0.017    0.000    0.017    0.000 {method 'trace' of 'numpy.ndarray' objects}
     3850    0.002    0.000    0.017    0.000 _methods.py:37(_any)
        1    0.000    0.000    0.016    0.016 tokenize.py:23(<module>)
        1    0.002    0.002    0.016    0.016 __init__.py:52(<module>)
        1    0.006    0.006    0.016    0.016 dates.py:111(<module>)
    13201    0.014    0.000    0.016    0.000 sre_parse.py:182(__next)
       58    0.016    0.000    0.016    0.000 {numpy.core.multiarray.lexsort}
